WorkerId,Tweet,Interpretation1,Interpretation2,Interpretation3,Probability1,Probability2,TweetURL
A297YBE1T5C8L,I still don't get micellar water.,I don't understand micellar water,I still don't buy micellar water,,79.29,20.71,https://twitter.com/safiyajn/status/1011464765833527296
AYW62R027PUT1,"I saw a man with one eye, in a 3D movie",He saw a man while watching a 3d movie that had one eye.,He saw a man using only one of his eyes while watching a 3d movie,,73.79,26.21,https://twitter.com/EsaFung/status/871400654841016320
A3CBOZUTFR0NR7,Australian archbishop Philip Wilson expected to serve home detention for covering up child abuse by priests,Australian archbishop Philip Wilson have was to serve home detention for covering up child abuse by priests,Australian archbishop Philip Wilson think to serve home detention for covering up child abuse by priests,,71.55,28.45,https://twitter.com/BBCBreaking/status/1013943820231290882
AQNM5R2NMGTG6,Melania Trump is suing the Daily Mail for claiming she worked as an escort for $150 million http://jrnl.to/2bHcM6t,Melania Trump is suing the Daily Mail for $150 million because they claimed she worked as an escort.,Melania Trump is suing the Daily Mail because they said her pay she received as an escort was $150 million.,,55.83,44.17,https://twitter.com/thejournal_ie/status/771597279002112001
AW6DFFL8QE1FH,Malcolm Turnbull dismissed the greatest consensus ever reached in Indigenous politics by email.,Malcolm Turnbull used an email to dismiss the greatest consensus ever reached in Indigenous politics.,Email was used to reach the consensus in Indigenous politics and Malcolm dismissed the consensus.,,52.43,47.57,https://twitter.com/SatPaper/status/1015377387767451649
AW6DFFL8QE1FH,Lions ate three poachers after breaking into South African game reserve to hunt rhinos.,3 Poachers broke into game reserve to hunt rhinos and were eaten by lions.,  Lions broke into game reserve to hunt rhinos and ate the 3 poachers.,,54.69,45.31,https://twitter.com/GlobalTom/status/1014975957327925258
AW6DFFL8QE1FH,We have a feeling the dads are gonna love these autographs just as much as the kids. #FathersDay,Father love the autographs as much as they love the kids.,  Father love the autographs as much as Kids love the autographs.,,55.62,44.38,https://twitter.com/BlueJays/status/1008379724723154944
AYW62R027PUT1,@sokareemie what's the likelihood she would be crying if you had fed her cat food?,What's the likelihood she would be crying if he fed her some food that was intended for cats?,  What's the likelihood she would be crying if he fed her cat some food?,,52.22,47.78,https://twitter.com/StuHorvath/status/564429647124107265
AW6DFFL8QE1FH,American Airlines suspends flight attendant accused of hitting mom with stroller.,American airlines suspended the flight attendant with stroller. She had beaten her mom.,American airlines suspended flight attendant who had beaten her mom using a stroller.,,68,32,https://twitter.com/Slate/status/855904936953085953
AW6DFFL8QE1FH,Everything is garbage on this website (surprise) so here is the last full photo of Saturn that Cassini took before it died.,This is the last photo of Saturn before it died.,This is the last photo of Saturn before Cassini died.,,52,48,https://twitter.com/shannonmstirone/status/1002341986152484864
AW6DFFL8QE1FH,AI is already making decisions about human rights content that we certainly don't understand.,AI is making decisions that we don't understand.,We dont understand human rights content and AI is already making decisions about it.,,75,25,https://twitter.com/witnessorg/status/983828658811895808
AW6DFFL8QE1FH,Lions ate three poachers after breaking into South African game reserve to hunt rhinos,Lions broke the game reserve to hunt rhinos and ate the poachers,Poachers had broken into game reserve to hunt rhinos and were eaten by Lions,,55,45,https://twitter.com/GlobalTom/status/1014975957327925258
AW6DFFL8QE1FH,Neo-Confederate Leader Behind Arrest Warrant For Black Man Beaten In Câ€™Ville,Neo-Confederate was beaten in In Câ€™Ville and he was responsible for arrest Warrant For Black Man,Neo-Confederate is responsible for the arrest warrant for black man. The black man was beaten in C'Ville.,,78,22,https://twitter.com/joshtpm/status/918291950377340930
AW6DFFL8QE1FH,Texas nurse in prison for 1984 killing of a toddler suspected of killing as many as 60 young children.,Texas nurse who was responsible for killing a toddler is suspected of killing as many as 60 young children,Texas nurse in prison for killing of a toddler and toddler killed 60 children,,61,39,https://twitter.com/AP/status/868165110593982465
AW6DFFL8QE1FH,Man wounded after fight leads to shooting in Belltown.,Man was wounded as a fight lead to shooting.,Man who was wounded after fight went to shoot in Belltown.,,60,40,https://twitter.com/SeattlePD/status/860547876660760576
AW6DFFL8QE1FH,Everything is garbage on this website (surprise) so here is the last full photo of Saturn that Cassini took before it died.,Cassini died.,Saturn died.,,54,46,https://twitter.com/shannonmstirone/status/1002341986152484864
AW6DFFL8QE1FH,Michael Gove says he expects to fight the next election with Theresa May as leader,Michael Gove says he expects to fight the next election with Theresa May as the leader.,Michael Gove says he expects to fight against Theresa May as leader in the next election.,,70,30,https://twitter.com/LBC/status/914879873663012865
AYW62R027PUT1,Princess Diana Dresses to Be Auctioned,Dresses formerly worn by Princess Diana to be auctioned.,Princess Diana gets dressed in preparation for being auctioned.,,58,42,https://twitter.com/POPSUGARStyle/status/12161697241
AW6DFFL8QE1FH,Stop encouraging mass killers by making them celebrities.,Mass killers have made celebrities and this is leading to their encouragement.,Stop encouraging mass killers and this can be done by making them celebrities.,,58,42,https://twitter.com/sapinker/status/964504376038576128
AW6DFFL8QE1FH,"Rahul Gandhi can hug PM, people will not hug him in 2019",People will not hug Rahul Gandhi in 2019,People will not hug PM in 2019,,66,34,https://twitter.com/IndianExpress/status/1021025779524800512
AW6DFFL8QE1FH,CNN is reporting Trumpâ€™s new attorney for Mueller work is no longer convinced he is the right person for the job after a meeting yesterday.,CNN is reporting Trumpâ€™s new attorney for Mueller work is no longer convinced Trump is the right person for the job after a meeting yesterday.,CNN is reporting Trumpâ€™s new attorney for Mueller work is no longer convinced Attorney is the right person for the job after a meeting yesterday.,,50,50,https://twitter.com/AdamParkhomenko/status/977233272022421510
AW6DFFL8QE1FH,"Anthem protests open rare â€˜productiveâ€™ dialogue between owners, players.","A rare â€˜productiveâ€™ dialogue between owners, players is being opened by Anthem protests.","Anthem is protesting open rare â€˜productiveâ€™ dialogue between owners, players.",,80,20,https://twitter.com/theMMQB/status/920470409656483841
AW6DFFL8QE1FH,A mother beat her daughter because she was drunk.,Mother was drunk.,Daughter was drunk.,,75,25,https://twitter.com/MpashoNews/status/975998059250364416
AW6DFFL8QE1FH,"Hereâ€™s how we are using satellites to detect the loss of ice in Antarctica, which is leading to rising global sea levels",There is a loss of ice which is leading to rising sea levels. These losses are being detected by satellite.,Satellite's detection of loss of ice is leading to rising global sea levels.,,52,48,https://twitter.com/UniversityLeeds/status/1006967322526076928
AYW62R027PUT1,Officer kills man with knife in Lincoln McDonald's parking lot,An officer killed a man who was wielding a knife in a Lincoln McDonald's parking lot,An officer used a knife to kill a man in a Lincoln McDonald's parking lot,,64,36,https://twitter.com/sacbee_news/status/791008704556441600
AW6DFFL8QE1FH,WHY IS A REPUBLICAN ASKING FOR TRUMP TO STEP DOWN AND NOT THE ENTIRE DEMOCRATIC PARTY?,Why a  Republican  is asking for trump to step down and entire democratic party is not asking for trump to step down?,A republican is asking for trump to step down and why he is not asking the democratic party to step down too?,,76,24,https://twitter.com/peterdaou/status/1021566693167034370
AW6DFFL8QE1FH,"It's still the holidays, so I will be continuing to murder people with a jolly attitude.",People with jolly attitude will be murdered.,People with be murdered by the murderer with a jolly attitude.,,55,45,https://twitter.com/rebeccawatson/status/945775399895568385
AW6DFFL8QE1FH,Devin Nunes expands Russia probe to use of dossier to snare Trump,Devin Nunes is snaring Trump by expanding the Russian probe  to use of dossier.,Devin Nunes is expanding the Russian probe. This probe was about the use of dossier to snare Trump.,,57,43,https://twitter.com/PoliticalShort/status/948153900787556352
AW6DFFL8QE1FH,The people of Montenegro boldly withstood pressure from Putinâ€™s Russia to embrace democracy.,Montenegro people withstood pressure from Russia and embraced democracy.,Montenegro people withstood  Russia's pressure of embracing democracy.,,76,24,https://twitter.com/SenJohnMcCain/status/1019611082934161408
